__v,_id,class,createdAt,title,updatedAt
0,63e9e295d7eaee096fed4fdf,63e71d2c2a9277678ec2f7fc,2023-02-13T07:11:17.020Z,B1,2023-02-13T07:11:17.020Z
0,63e9e298d7eaee096fed4fe2,63e71d2c2a9277678ec2f7fc,2023-02-13T07:11:20.889Z,B2,2023-02-13T07:11:20.889Z
0,63e9e29bd7eaee096fed4fe5,63e71d2c2a9277678ec2f7fc,2023-02-13T07:11:23.685Z,B3,2023-02-13T07:11:23.685Z
0,63e9e29fd7eaee096fed4fe8,63e71d2c2a9277678ec2f7fc,2023-02-13T07:11:27.922Z,B4,2023-02-13T07:11:27.922Z
